"ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month"
1,20000,1,4,1,24,4,4,-1,-1,-4,-4,3913,3104,689,0,0,0,0,689,0,0,0,0,1
4,120000,4,4,4,26,-1,4,0,0,0,4,2684,1725,2684,3274,3455,3261,0,1000,1000,1000,0,2000,1
3,90000,4,4,4,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0
4,50000,4,4,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0
5,50000,1,4,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0
6,50000,1,1,4,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0
7,5e+05,1,1,4,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0
8,1e+05,4,4,4,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1544,0
9,140000,4,3,1,28,0,0,4,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,434,1000,1000,1000,0
10,20000,1,3,4,35,-4,-4,-4,-4,-1,-1,0,0,0,0,13007,13914,0,0,0,13007,1124,0,0
11,2e+05,4,3,4,34,0,0,4,0,0,-1,11073,9787,5535,2513,1828,3731,2306,14,50,300,3738,66,0
14,260000,4,1,4,51,-1,-1,-1,-1,-1,4,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0
13,630000,4,4,4,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0
14,70000,1,4,4,30,1,4,4,0,0,4,65804,67369,65701,66784,36137,36894,3200,0,3000,3000,1500,0,1
15,250000,1,1,4,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55514,3000,3000,3000,3000,3000,3000,0
16,50000,4,3,3,23,1,4,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0
17,20000,1,1,4,24,0,0,4,4,4,4,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1
18,320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0
19,360000,4,1,1,49,1,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
20,180000,4,1,4,29,1,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
21,130000,4,3,4,39,0,0,0,0,0,-1,38358,27688,24489,20616,11804,930,3000,1537,1000,2000,930,33764,0
24,120000,4,4,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,634,316,316,316,0,634,316,0,1
23,70000,4,4,4,26,4,0,0,4,4,4,41087,42445,45020,44006,46905,46014,2007,3584,0,3601,0,1820,1
24,450000,4,1,1,40,-4,-4,-4,-4,-4,-4,5514,19420,1473,560,0,0,19428,1473,560,0,0,1128,1
25,90000,1,1,4,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8294,5757,0,5398,1200,2045,2000,0
26,50000,1,3,4,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1434,1064,997,0
27,60000,1,1,4,27,1,-4,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1
28,50000,4,3,4,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1014,0
29,50000,4,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0
30,50000,1,1,4,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0
31,230000,4,1,4,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37294,0,0
34,50000,1,4,4,33,4,0,0,0,0,0,30518,29618,22104,22734,23217,23680,1718,1500,1000,1000,1000,716,1
33,1e+05,1,1,4,34,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3304,3204,3200,2504,0
34,5e+05,4,4,1,54,-4,-4,-4,-4,-4,-4,10929,4154,22724,7521,71439,8981,4154,22827,7521,71439,981,51584,0
35,5e+05,1,1,1,58,-4,-4,-4,-4,-4,-4,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0
36,160000,1,1,4,30,-1,-1,-4,-4,-4,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,794,0,0
37,280000,1,4,1,40,0,0,0,0,0,0,186503,181328,180424,170410,173901,177413,8026,8060,6300,6400,6400,6737,0
38,60000,4,4,4,24,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0
39,50000,1,1,4,25,1,-1,-1,-4,-4,-4,0,780,0,0,0,0,780,0,0,0,0,0,1
40,280000,1,1,4,31,-1,-1,4,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0
41,360000,1,1,4,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0
44,70000,4,1,4,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4044,2500,2800,2500,0
43,10000,1,4,4,24,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0
44,140000,4,4,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69804,3000,3000,3000,4000,4000,3000,0
45,40000,4,1,4,30,0,0,0,4,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0
46,210000,1,1,4,29,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,1
47,20000,4,1,4,24,0,0,4,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1
48,150000,4,5,4,46,0,0,-1,0,0,-4,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1
49,380000,1,4,4,34,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0
50,20000,1,1,4,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,914,1069,0
51,70000,1,3,4,44,1,4,4,4,4,0,37044,36171,38355,39423,38659,39364,0,3100,2000,0,1500,1500,1
54,1e+05,4,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35764,33258,2000,1606,1500,2000,1500,1000,0
53,310000,4,4,1,49,-4,-4,-4,-4,-4,-4,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0
54,180000,4,1,4,25,1,4,0,0,0,0,41404,41744,42758,43510,44420,45319,1300,2010,1764,1764,1790,1624,0
55,150000,4,1,4,29,4,0,0,0,0,0,46224,34993,31434,26518,21044,16540,1600,1718,1049,1500,2000,5000,0
56,5e+05,4,1,1,45,-4,-4,-4,-4,-4,-4,1905,3640,164,0,151,2530,3640,164,0,151,2530,0,0
57,180000,4,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7144,-679,8321,8500,1500,7500,679,9000,2000,0
58,180000,4,4,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132204,129918,8083,7296,5253,4814,4816,3800,0
59,2e+05,4,1,4,34,-1,3,4,4,4,4,1587,1098,784,1166,700,1414,0,0,700,0,1200,0,0
60,4e+05,4,4,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0
61,5e+05,4,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1
64,70000,1,4,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0
63,50000,1,1,4,29,4,4,4,4,4,4,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1
64,50000,4,4,1,46,0,0,0,-4,-4,-4,28718,29166,0,0,0,0,1000,0,0,0,0,0,1
65,130000,4,4,1,51,-1,-1,-4,-4,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0
66,2e+05,1,1,1,57,-4,-4,-4,-1,4,4,152519,148751,144076,8174,8198,7918,0,0,8224,300,0,1000,1
67,10000,1,4,1,56,4,4,4,0,0,0,2097,4193,3978,4064,4196,4326,2300,0,150,200,200,160,1
68,210000,4,1,4,30,4,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0
69,130000,4,3,4,29,1,-4,-4,-1,4,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0
70,20000,1,5,4,24,4,0,0,0,0,0,18565,17204,17285,18085,11205,5984,0,1200,1000,500,1000,0,0
71,80000,1,1,4,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0
74,320000,1,4,4,29,4,4,4,4,4,4,58267,59246,60184,58624,62307,63526,2500,2500,0,4800,2400,1600,1
73,2e+05,4,4,1,34,-1,-1,-1,-1,4,-1,9076,5787,-684,5247,3848,3151,5818,15,9104,17,3165,1395,0
74,290000,4,1,4,37,1,-4,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0
75,340000,1,1,4,34,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80554,25949,2016,0
76,20000,1,4,4,24,0,0,4,0,0,0,14619,17216,16644,16976,17334,18543,2850,0,610,630,1500,0,0
77,50000,1,3,4,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0
78,3e+05,4,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0
79,30000,4,4,4,24,0,0,0,0,0,0,28387,29614,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1
80,240000,4,4,4,44,1,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,1
81,470000,4,3,3,33,0,0,0,0,0,0,165254,157784,162704,69923,29271,29889,6400,7566,3000,960,1000,3000,0
84,360000,4,1,4,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0
83,60000,1,3,4,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1
84,4e+05,4,4,1,44,0,0,4,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0
85,50000,4,3,4,49,0,0,0,0,0,0,48909,47863,21489,20414,19344,19484,1676,1304,700,699,849,826,0
86,160000,1,4,4,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0
87,360000,4,1,1,45,-1,-1,4,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1
88,160000,4,4,4,34,0,0,0,0,0,-1,3826,4751,6604,8604,7074,766,1147,2000,2000,0,766,2303,0
89,130000,4,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0
90,20000,1,3,4,44,4,4,0,0,0,4,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0
91,2e+05,1,1,1,53,4,4,4,4,4,4,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1
94,280000,4,1,4,39,-1,-1,-1,0,0,-4,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0
93,1e+05,4,1,4,27,-4,-4,-4,-4,-4,-4,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0
94,160000,4,4,1,37,-1,-1,-1,-1,-1,-4,880,1604,840,840,0,0,1604,840,840,0,0,7736,0
95,60000,4,4,4,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,684,690,816,835,0
96,90000,1,4,4,35,0,0,0,0,0,0,83725,85996,87653,35565,30944,30835,3621,3597,1179,1114,1104,1143,0
97,360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8324,3394,6451,26370,9956,8339,3394,12904,27000,0,68978,0
98,150000,1,1,4,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0
99,50000,4,3,1,24,0,0,0,0,0,0,18724,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0
100,20000,1,4,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1
101,140000,1,1,4,34,-4,-4,-4,-4,-4,-4,674,10214,850,415,100,1430,10214,850,415,100,1430,0,0
